index	Date	Venue	Title	Assets/Notes
0	2018-11-05	Society for Neuroscience	Neuroinformatics	[Program Information](https://www.sfn.org/Meetings/Neuroscience-2018/Sessions-and-Events/Professional-Development-Workshops#Monday,-November-05,-2018); [Slides](https://doi.org/10.5281/zenodo.3245440); [Video](https://neuronline.sfn.org/professional-development/data-sharing-principles-to-promote-open-science)
1	2019-01-31	UNC	From Cognitive Science to Data Science	[Program Information](https://cogpsych.unc.edu/event/cognitive-talk-81/)
2	2019-02-01	Duke	From Cognitive Science to Data Science	[Program Information](https://dibs.duke.edu/events/teon-brooks-mozilla)
3	2019-05-09	csv,conf,v4	build, empower, grow: My journey and approach to human-centered data tools	[Program Information](https://csvconf.com/); [Talk](https://youtu.be/0_Ws9t9FGqA); [Slides](https://doi.org/10.5281/zenodo.2766123#.XOJYNSDeghk)
4	2020-03-05	UC San Diego	Intro to Data Science Guest Lecture
5	2020-07-31	University of Washington	Data Science for Social Good Panel: Nonprofit	[Program Information](https://escience.washington.edu/2020-data-science-for-social-good-projects/)
6	2020-11-13	University of Michigan	Cognition & Cognitive Neuroscience Area Forum	[Program Information](https://events.umich.edu/event/79117)
7	2021-03-29	Indiana University	IU Neuroscience / Cognitive Science Joint Colloquium Series	Program Information forthcoming
8	2021-06-08	Duke University	Social Neuroeconomics Summer School	[Program Information](https://www.socialneuroecon.school/2021#schedule2021)
